data,residuo
2025-01-15,-0.006926833395898946
2025-01-31,-0.053344612965813276
2025-02-15,0.04795910205467635
2025-02-28,0.06938780232376374
2025-03-15,0.054975814771467846
2025-03-31,0.04119132376356127
2025-04-15,0.07081672689760588
2025-04-30,0.037777861690170944
2025-05-15,0.07915428103632927
2025-05-31,0.06246923845287444
2025-06-15,0.03009066017640194
2025-06-30,-0.005362662315095079
2025-07-15,0.057048853376740816
2025-07-31,0.053995066614557
2025-08-15,0.06580849075969208
2025-08-31,0.07548052533191996
2025-09-15,0.04472248042804683
2025-09-30,0.017132464261269575
2025-10-15,0.08426905583977096
2025-10-31,0.04168421157423374
2025-11-15,0.047707087273190396
2025-11-30,0.013373936546202003
2025-12-15,-0.004210775297647018
2025-12-31,-0.014155631218627285
