data,residuo
2025-01-15,-0.010520889809126466
2025-01-31,0.005376765600787259
2025-02-15,0.14329718320724538
2025-02-28,0.12422466785653086
2025-03-15,0.021888668095339625
2025-03-31,-0.008232551439880886
2025-04-15,0.0198690703096851
2025-04-30,-0.011195978685380581
2025-05-15,-0.02194203972224873
2025-05-31,-0.007302872396063975
2025-06-15,-0.0037645073575660604
2025-06-30,-0.04120634328009398
2025-07-15,0.06909605022211451
2025-07-31,0.07520127094883033
2025-08-15,0.07835912274375545
2025-08-31,0.058798755228518296
2025-09-15,0.051586603056031244
2025-09-30,0.08028129711384668
2025-10-15,0.0031610402388215775
2025-10-31,-0.04217153440639354
2025-11-15,-0.03895376014649887
2025-11-30,-0.0640561928778256
2025-12-15,0.00465504229885827
2025-12-31,0.022543777716168556
