,Real,Naive,SARIMAX,Exponential_Smoothing,THETA,ETS_no_trend,XGBoost,LSTM
2025-01-15,6.061280984195476,6.052345631001979,6.089635193382037,6.074767874867806,,6.071801874004603,6.0530467,6.13292653228706
2025-01-31,6.0839873114889516,6.052345631001979,6.16191144873552,6.084397976256503,,6.078610545888164,6.0530467,6.169942792965517
2025-02-15,6.266112605584512,6.052345631001979,6.234678233237716,6.131441194957533,,6.122815422377267,6.0400453,6.198016969557685
2025-02-28,6.256985681289006,6.052345631001979,6.222270647187098,6.14419659148948,,6.132761013432475,6.0354047,6.218559833275243
2025-03-15,6.225742964596824,6.052345631001979,6.21291746148242,6.2181176471857285,,6.2038542965014845,6.0694957,6.223451207836938
2025-03-31,6.215576483896984,6.052345631001979,6.18249986357529,6.240859373802235,,6.223809035336865,6.0475583,6.234771765789175
2025-04-15,6.219268042316511,6.052345631001979,6.159172104240019,6.219234493112414,,6.199398972006826,6.0672603,6.237325022953909
2025-04-30,6.187033183246709,6.052345631001979,6.119312997755225,6.220831880525674,,6.1982291619320895,6.0857654,6.247848114342895
2025-05-15,6.175988929929408,6.052345631001979,6.112514462629253,6.223287761761402,,6.197930969651657,6.026888,6.258100362668881
2025-05-31,6.16815528150326,6.052345631001979,6.084902358906604,6.203578781282779,,6.175458153899324,6.048405,6.26864505329479
2025-06-15,6.16511045487686,6.052345631001979,6.0929659840269474,6.199746646293841,,6.168874962234426,6.1137614,6.271239803730457
2025-06-30,6.117380246555071,6.052345631001979,6.072360894895242,6.192183976752939,,6.158586589835165,6.1164966,6.270502871870689
2025-07-15,6.138390355114362,6.052345631001979,6.070870558154638,6.105608452203785,,6.069294304892248,6.124891,6.2554814551919184
2025-07-31,6.111130021568491,6.052345631001979,6.053922259824947,6.074964395116993,,6.035928750619661,6.1277504,6.243421975976512
2025-08-15,6.102899021371402,6.052345631001979,6.029653587797326,6.066314966559639,,6.024539898627647,6.1284466,6.2315480796783564
2025-08-31,6.104456900522348,6.052345631001979,6.060324478757536,6.0901408492505045,,6.04565814529383,6.1347237,6.225555144033569
2025-09-15,6.07856807441808,6.052345631001979,6.081690659505386,6.074161207741018,,6.026981471362049,6.1347237,6.219908364580528
2025-09-30,6.074378486650406,6.052345631001979,6.113188540443221,6.044009706988306,,5.994097189536559,6.1400123,6.215003348395514
2025-10-15,6.032812493515275,6.052345631001979,6.063518046545927,6.082288003369221,,6.029651453276453,6.1347237,6.207512391989893
2025-10-31,5.997803367746161,6.052345631001979,6.038794238998148,6.095313875382589,,6.039974902152554,6.1347237,6.199218569211792
2025-11-15,6.027808648091163,6.052345631001979,6.086188029458041,6.124822892001361,,6.066762408237662,6.120117,6.195863014075546
2025-11-30,6.019999799191374,6.052345631001979,6.105308169292641,6.144841579969934,,6.0840559920691994,6.0708256,6.1984941421734
2025-12-15,6.071637394286612,6.052345631001979,6.165880721270245,6.130505015901654,,6.066982351987754,6.038045,6.2000816860872705
2025-12-31,6.074889408493214,6.052345631001979,6.216314442174245,6.118601441705399,,6.052345630777046,6.0635324,6.210617566498119
